table_index,printname,c_entry,offset,eval,arity,pp_kind,precedence,rightassoc,access,sexptype,evaluates_arguments
27,.Primitive,do_primitive,0,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
28,call,do_call,0,0,-1,PP_FUNCALL,PREC_FN,0,primitive,SPECIALSXP,False
29,quote,do_quote,0,0,1,PP_FUNCALL,PREC_FN,0,primitive,SPECIALSXP,False
30,substitute,do_substitute,0,0,-1,PP_FUNCALL,PREC_FN,0,primitive,SPECIALSXP,False
31,missing,do_missing,1,0,1,PP_FUNCALL,PREC_FN,0,primitive,SPECIALSXP,False
32,nargs,do_nargs,1,1,0,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
33,on.exit,do_onexit,0,100,-1,PP_FUNCALL,PREC_FN,0,primitive,SPECIALSXP,False
34,forceAndCall,do_forceAndCall,0,0,-1,PP_FUNCALL,PREC_FN,0,primitive,SPECIALSXP,False
35,declare,do_declare,0,100,-1,PP_FUNCALL,PREC_FN,0,primitive,SPECIALSXP,False
36,stop,do_stop,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
37,warning,do_warning,0,111,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
38,gettext,do_gettext,0,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
39,ngettext,do_ngettext,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
40,bindtextdomain,do_bindtextdomain,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
41,.addCondHands,do_addCondHands,0,111,5,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
42,.addGlobHands,do_addGlobHands,0,111,5,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
43,.resetCondHands,do_resetCondHands,0,111,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
44,.signalCondition,do_signalCondition,0,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
45,.dfltStop,do_dfltStop,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
46,.dfltWarn,do_dfltWarn,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
47,.addRestart,do_addRestart,0,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
48,.getRestart,do_getRestart,0,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
49,.invokeRestart,do_invokeRestart,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
50,.addTryHandlers,do_addTryHandlers,0,111,0,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
51,geterrmessage,do_geterrmessage,0,11,0,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
52,seterrmessage,do_seterrmessage,0,111,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
53,printDeferredWarnings,do_printDeferredWarnings,0,111,0,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
54,interruptsSuspended,do_interruptsSuspended,0,11,-1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
55,as.function.default,do_asfunction,0,11,2,PP_FUNCTION,PREC_FN,0,internal,BUILTINSXP,True
56,debug,do_debug,0,111,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
57,undebug,do_debug,1,111,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
58,isdebugged,do_debug,2,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
59,debugonce,do_debug,3,111,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
60,Recall,do_recall,0,210,-1,PP_FUNCALL,PREC_FN,0,internal,SPECIALSXP,False
61,delayedAssign,do_delayed,0,111,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
62,makeLazy,do_makelazy,0,111,5,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
63,identical,do_identical,0,11,8,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
64,C_tryCatchHelper,do_tryCatchHelper,0,11,-1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
65,getNamespaceValue,do_getNSValue,0,211,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
66,+,do_arith,PLUSOP,1,-1,PP_BINARY,PREC_SUM,0,primitive,BUILTINSXP,True
67,-,do_arith,MINUSOP,1,-1,PP_BINARY,PREC_SUM,0,primitive,BUILTINSXP,True
68,*,do_arith,TIMESOP,1,2,PP_BINARY,PREC_PROD,0,primitive,BUILTINSXP,True
69,/,do_arith,DIVOP,1,2,PP_BINARY2,PREC_PROD,0,primitive,BUILTINSXP,True
70,^,do_arith,POWOP,1,2,PP_BINARY2,PREC_POWER,1,primitive,BUILTINSXP,True
71,%%,do_arith,MODOP,1,2,PP_BINARY2,PREC_PERCENT,0,primitive,BUILTINSXP,True
72,%/%,do_arith,IDIVOP,1,2,PP_BINARY2,PREC_PERCENT,0,primitive,BUILTINSXP,True
73,%*%,do_matprod,0,1,2,PP_BINARY,PREC_PERCENT,0,primitive,BUILTINSXP,True
74,==,do_relop,EQOP,1,2,PP_BINARY,PREC_COMPARE,0,primitive,BUILTINSXP,True
75,!=,do_relop,NEOP,1,2,PP_BINARY,PREC_COMPARE,0,primitive,BUILTINSXP,True
76,<,do_relop,LTOP,1,2,PP_BINARY,PREC_COMPARE,0,primitive,BUILTINSXP,True
77,<=,do_relop,LEOP,1,2,PP_BINARY,PREC_COMPARE,0,primitive,BUILTINSXP,True
78,>=,do_relop,GEOP,1,2,PP_BINARY,PREC_COMPARE,0,primitive,BUILTINSXP,True
79,>,do_relop,GTOP,1,2,PP_BINARY,PREC_COMPARE,0,primitive,BUILTINSXP,True
80,&,do_logic,1,1,2,PP_BINARY,PREC_AND,0,primitive,BUILTINSXP,True
81,|,do_logic,2,1,2,PP_BINARY,PREC_OR,0,primitive,BUILTINSXP,True
82,!,do_logic,3,1,1,PP_UNARY,PREC_NOT,0,primitive,BUILTINSXP,True
83,&&,do_logic2,1,0,2,PP_BINARY,PREC_AND,0,primitive,SPECIALSXP,False
84,||,do_logic2,2,0,2,PP_BINARY,PREC_OR,0,primitive,SPECIALSXP,False
85,:,do_colon,0,1,2,PP_BINARY2,PREC_COLON,0,primitive,BUILTINSXP,True
86,~,do_tilde,0,0,-1,PP_BINARY,PREC_TILDE,0,primitive,SPECIALSXP,False
87,::,do_colon2,0,200,2,PP_BINARY2,PREC_NS,0,primitive,SPECIALSXP,False
88,:::,do_colon3,0,200,2,PP_BINARY2,PREC_NS,0,primitive,SPECIALSXP,False
89,all,do_logic3,1,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
90,any,do_logic3,2,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
91,...elt,do_dotsElt,0,201,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
92,...length,do_dotsLength,0,1,0,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
93,...names,do_dotsNames,0,1,0,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
94,length,do_length,0,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
95,length<-,do_lengthgets,0,1,2,PP_FUNCALL,PREC_LEFT,1,primitive,BUILTINSXP,True
96,oldClass,do_class,0,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
97,oldClass<-,do_classgets,0,1,2,PP_FUNCALL,PREC_LEFT,1,primitive,BUILTINSXP,True
98,class,R_do_data_class,0,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
99,.cache_class,R_do_data_class,1,1,2,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
100,.class2,R_do_data_class,2,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
101,class<-,R_do_set_class,0,1,2,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
102,unclass,do_unclass,0,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
103,names,do_names,0,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
104,names<-,do_namesgets,0,1,2,PP_FUNCALL,PREC_LEFT,1,primitive,BUILTINSXP,True
105,dimnames,do_dimnames,0,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
106,dimnames<-,do_dimnamesgets,0,1,2,PP_FUNCALL,PREC_LEFT,1,primitive,BUILTINSXP,True
107,dim,do_dim,0,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
108,dim<-,do_dimgets,0,1,2,PP_FUNCALL,PREC_LEFT,1,primitive,BUILTINSXP,True
109,attributes,do_attributes,0,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
110,attributes<-,do_attributesgets,0,1,2,PP_FUNCALL,PREC_LEFT,1,primitive,BUILTINSXP,True
111,attr,do_attr,0,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
112,attr<-,do_attrgets,0,1,3,PP_FUNCALL,PREC_LEFT,1,primitive,BUILTINSXP,True
113,@<-,do_attrgets,1,0,3,PP_SUBASS,PREC_LEFT,1,primitive,SPECIALSXP,False
114,levels<-,do_levelsgets,0,1,2,PP_FUNCALL,PREC_LEFT,1,primitive,BUILTINSXP,True
115,vector,do_makevector,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
116,complex,do_complex,0,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
117,matrix,do_matrix,0,11,7,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
118,array,do_array,0,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
119,diag,do_diag,0,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
120,backsolve,do_backsolve,0,11,5,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
121,max.col,do_maxcol,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
122,row,do_rowscols,1,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
123,col,do_rowscols,2,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
124,unlist,do_unlist,0,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
125,cbind,do_bind,1,10,-1,PP_FUNCALL,PREC_FN,0,internal,SPECIALSXP,False
126,rbind,do_bind,2,10,-1,PP_FUNCALL,PREC_FN,0,internal,SPECIALSXP,False
127,drop,do_drop,0,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
128,all.names,do_allnames,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
129,comment,do_comment,0,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
130,comment<-,do_commentgets,0,11,2,PP_FUNCALL,PREC_LEFT,1,internal,BUILTINSXP,True
131,get,do_get,1,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
132,get0,do_get,2,11,5,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
133,mget,do_mget,1,11,5,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
134,exists,do_get,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
135,assign,do_assign,0,111,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
136,list2env,do_list2env,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
137,remove,do_remove,0,111,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
138,duplicated,do_duplicated,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
139,unique,do_duplicated,1,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
140,anyDuplicated,do_duplicated,2,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
141,anyNA,do_anyNA,0,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
142,which,do_which,0,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
143,which.min,do_first_min,0,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
144,pmin,do_pmin,0,11,-1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
145,pmax,do_pmin,1,11,-1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
146,which.max,do_first_min,1,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
147,match,do_match,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
148,pmatch,do_pmatch,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
149,charmatch,do_charmatch,0,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
150,match.call,do_matchcall,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
151,crossprod,do_matprod,1,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
152,tcrossprod,do_matprod,2,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
153,asplit,do_asplit,0,11,8,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
154,lengths,do_lengths,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
155,sequence,do_sequence,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
156,vhash,do_vhash,0,11,-1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
157,attach,do_attach,0,111,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
158,detach,do_detach,0,111,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
159,search,do_search,0,11,0,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
160,setFileTime,do_setFileTime,0,111,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
