table_index,name,c_entry,source_file,offset,sexptype,eval,arity,kernel,evaluation_policy,argument_policy,coercion_policy,vector_policy,index_policy,attribute_policy,dispatch_policy,effect_policy,replacement_policy,attribute_operation,matrix_operation
25,.primUntrace,do_trace,src/main/debug.c,1,BUILTINSXP,101,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
26,.Internal,do_internal,,0,SPECIALSXP,200,1,language,special,fixed,identity,scalar,none,drop,none,control-or-environment,none,none,none
27,.Primitive,do_primitive,,0,BUILTINSXP,1,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
28,call,do_call,src/main/coerce.c,0,SPECIALSXP,0,-1,language,special,variadic,identity,scalar,none,drop,none,control-or-environment,none,none,none
29,quote,do_quote,src/main/coerce.c,0,SPECIALSXP,0,1,language,special,fixed,identity,scalar,none,drop,none,control-or-environment,none,none,none
30,substitute,do_substitute,src/main/coerce.c,0,SPECIALSXP,0,-1,character,special,variadic,character,elementwise-recycle,none,drop,none,pure,none,none,none
31,missing,do_missing,src/main/envir.c,1,SPECIALSXP,0,1,language,special,fixed,identity,scalar,none,drop,none,control-or-environment,none,none,none
32,nargs,do_nargs,src/main/util.c,1,BUILTINSXP,1,0,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
33,on.exit,do_onexit,src/main/builtin.c,0,SPECIALSXP,100,-1,language,special,variadic,identity,scalar,none,drop,none,control-or-environment,none,none,none
34,forceAndCall,do_forceAndCall,src/main/eval.c,0,SPECIALSXP,0,-1,language,special,variadic,identity,scalar,none,drop,none,control-or-environment,none,none,none
35,declare,do_declare,src/main/eval.c,0,SPECIALSXP,100,-1,language,special,variadic,identity,scalar,none,drop,none,control-or-environment,none,none,none
36,stop,do_stop,src/main/errors.c,0,BUILTINSXP,11,2,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
37,warning,do_warning,src/main/errors.c,0,BUILTINSXP,111,4,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
38,gettext,do_gettext,src/main/errors.c,0,BUILTINSXP,11,3,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
39,ngettext,do_ngettext,src/main/errors.c,0,BUILTINSXP,11,4,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
40,bindtextdomain,do_bindtextdomain,src/main/errors.c,0,BUILTINSXP,11,2,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
41,.addCondHands,do_addCondHands,src/main/errors.c,0,BUILTINSXP,111,5,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
