table_index,name,c_entry,source_file,offset,sexptype,eval,arity,kernel,evaluation_policy,argument_policy,coercion_policy,vector_policy,index_policy,attribute_policy,dispatch_policy,effect_policy,replacement_policy,attribute_operation,matrix_operation
179,asin,do_math1,src/main/arithmetic.c,24,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
180,atan,do_math1,src/main/arithmetic.c,25,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
181,cosh,do_math1,src/main/arithmetic.c,30,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
182,sinh,do_math1,src/main/arithmetic.c,31,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
183,tanh,do_math1,src/main/arithmetic.c,32,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
184,acosh,do_math1,src/main/arithmetic.c,33,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
185,asinh,do_math1,src/main/arithmetic.c,34,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
186,atanh,do_math1,src/main/arithmetic.c,35,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
187,lgamma,do_math1,src/main/arithmetic.c,40,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
188,gamma,do_math1,src/main/arithmetic.c,41,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
189,digamma,do_math1,src/main/arithmetic.c,42,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
190,trigamma,do_math1,src/main/arithmetic.c,43,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
191,cospi,do_math1,src/main/arithmetic.c,47,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
192,sinpi,do_math1,src/main/arithmetic.c,48,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
193,tanpi,do_math1,src/main/arithmetic.c,49,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
194,atan2,do_math2,src/main/arithmetic.c,0,BUILTINSXP,11,2,numeric-binary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
195,lbeta,do_math2,src/main/arithmetic.c,2,BUILTINSXP,11,2,numeric-binary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
196,beta,do_math2,src/main/arithmetic.c,3,BUILTINSXP,11,2,numeric-binary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
197,lchoose,do_math2,src/main/arithmetic.c,4,BUILTINSXP,11,2,numeric-binary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
198,choose,do_math2,src/main/arithmetic.c,5,BUILTINSXP,11,2,numeric-binary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
199,besselJ,do_math2,src/main/arithmetic.c,24,BUILTINSXP,11,2,numeric-binary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
200,besselY,do_math2,src/main/arithmetic.c,25,BUILTINSXP,11,2,numeric-binary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
201,psigamma,do_math2,src/main/arithmetic.c,26,BUILTINSXP,11,2,numeric-binary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
202,Re,do_cmathfuns,src/main/arithmetic.c,1,BUILTINSXP,1,1,numeric-complex,eager,fixed,complex,elementwise-recycle,none,group,group-generic,pure,none,none,none
203,Im,do_cmathfuns,src/main/arithmetic.c,2,BUILTINSXP,1,1,numeric-complex,eager,fixed,complex,elementwise-recycle,none,group,group-generic,pure,none,none,none
204,Mod,do_cmathfuns,src/main/arithmetic.c,3,BUILTINSXP,1,1,numeric-complex,eager,fixed,complex,elementwise-recycle,none,group,group-generic,pure,none,none,none
205,Arg,do_cmathfuns,src/main/arithmetic.c,4,BUILTINSXP,1,1,numeric-complex,eager,fixed,complex,elementwise-recycle,none,group,group-generic,pure,none,none,none
206,Conj,do_cmathfuns,src/main/arithmetic.c,5,BUILTINSXP,1,1,numeric-complex,eager,fixed,complex,elementwise-recycle,none,group,group-generic,pure,none,none,none
207,besselI,do_math3,src/main/arithmetic.c,43,BUILTINSXP,11,3,numeric-ternary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
208,besselK,do_math3,src/main/arithmetic.c,44,BUILTINSXP,11,3,numeric-ternary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
209,rchisq,do_random1,src/main/random.c,0,BUILTINSXP,11,2,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
210,rexp,do_random1,src/main/random.c,1,BUILTINSXP,11,2,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
211,rgeom,do_random1,src/main/random.c,2,BUILTINSXP,11,2,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
212,rpois,do_random1,src/main/random.c,3,BUILTINSXP,11,2,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
213,rt,do_random1,src/main/random.c,4,BUILTINSXP,11,2,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
214,rsignrank,do_random1,src/main/random.c,5,BUILTINSXP,11,2,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
215,rbeta,do_random2,src/main/random.c,0,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
216,rbinom,do_random2,src/main/random.c,1,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
217,rcauchy,do_random2,src/main/random.c,2,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
218,rf,do_random2,src/main/random.c,3,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
219,rgamma,do_random2,src/main/random.c,4,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
220,rlnorm,do_random2,src/main/random.c,5,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
221,rlogis,do_random2,src/main/random.c,6,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
222,rnbinom,do_random2,src/main/random.c,7,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
223,rnbinom_mu,do_random2,src/main/random.c,13,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
224,rnchisq,do_random2,src/main/random.c,12,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
225,rnorm,do_random2,src/main/random.c,8,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
226,runif,do_random2,src/main/random.c,9,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
227,rweibull,do_random2,src/main/random.c,10,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
228,rwilcox,do_random2,src/main/random.c,11,BUILTINSXP,11,3,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
229,rhyper,do_random3,src/main/random.c,0,BUILTINSXP,11,4,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
230,sample,do_sample,src/main/random.c,0,BUILTINSXP,11,4,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
231,sample2,do_sample2,src/main/unique.c,0,BUILTINSXP,11,2,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
232,RNGkind,do_RNGkind,,0,BUILTINSXP,11,4,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
233,set.seed,do_setseed,,0,BUILTINSXP,111,5,random,eager,fixed,numeric,elementwise,none,drop,none,rng-state,none,none,none
234,sum,do_summary,src/main/summary.c,0,BUILTINSXP,1,-1,reduction,eager,variadic,common-numeric,reduce,none,summary,summary-group,pure,none,none,none
235,min,do_summary,src/main/summary.c,2,BUILTINSXP,1,-1,reduction,eager,variadic,common-numeric,reduce,none,summary,summary-group,pure,none,none,none
236,max,do_summary,src/main/summary.c,3,BUILTINSXP,1,-1,reduction,eager,variadic,common-numeric,reduce,none,summary,summary-group,pure,none,none,none
237,prod,do_summary,src/main/summary.c,4,BUILTINSXP,1,-1,reduction,eager,variadic,common-numeric,reduce,none,summary,summary-group,pure,none,none,none
238,mean,do_summary,src/main/summary.c,1,BUILTINSXP,11,1,reduction,eager,fixed,common-numeric,reduce,none,summary,summary-group,pure,none,none,none
239,range,do_range,src/main/summary.c,0,BUILTINSXP,1,-1,runtime,eager,variadic,identity,scalar,none,drop,none,pure,none,none,none
240,cumsum,do_cum,src/main/cum.c,1,BUILTINSXP,1,1,cumulative,eager,fixed,numeric,scan,none,names,math-group,pure,none,none,none
241,cumprod,do_cum,src/main/cum.c,2,BUILTINSXP,1,1,cumulative,eager,fixed,numeric,scan,none,names,math-group,pure,none,none,none
242,cummax,do_cum,src/main/cum.c,3,BUILTINSXP,1,1,cumulative,eager,fixed,numeric,scan,none,names,math-group,pure,none,none,none
243,cummin,do_cum,src/main/cum.c,4,BUILTINSXP,1,1,cumulative,eager,fixed,numeric,scan,none,names,math-group,pure,none,none,none
244,cumvar,do_cum,src/main/cum.c,5,BUILTINSXP,1,1,cumulative,eager,fixed,numeric,scan,none,names,math-group,pure,none,none,none
245,as.character,do_asatomic,src/main/coerce.c,0,BUILTINSXP,1,-1,coercion-atomic,eager,variadic,target-from-offset,elementwise,none,coercion,methods,pure,none,none,none
246,as.integer,do_asatomic,src/main/coerce.c,1,BUILTINSXP,1,-1,coercion-atomic,eager,variadic,target-from-offset,elementwise,none,coercion,methods,pure,none,none,none
247,as.double,do_asatomic,src/main/coerce.c,2,BUILTINSXP,1,-1,coercion-atomic,eager,variadic,target-from-offset,elementwise,none,coercion,methods,pure,none,none,none
248,as.numeric,do_asatomic,src/main/coerce.c,2,BUILTINSXP,1,-1,coercion-atomic,eager,variadic,target-from-offset,elementwise,none,coercion,methods,pure,none,none,none
249,as.complex,do_asatomic,src/main/coerce.c,3,BUILTINSXP,1,-1,coercion-atomic,eager,variadic,target-from-offset,elementwise,none,coercion,methods,pure,none,none,none
250,as.logical,do_asatomic,src/main/coerce.c,4,BUILTINSXP,1,-1,coercion-atomic,eager,variadic,target-from-offset,elementwise,none,coercion,methods,pure,none,none,none
251,as.raw,do_asatomic,src/main/coerce.c,5,BUILTINSXP,1,1,coercion-atomic,eager,fixed,target-from-offset,elementwise,none,coercion,methods,pure,none,none,none
252,as.call,do_ascall,src/main/coerce.c,0,BUILTINSXP,1,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
253,as.environment,do_as_environment,src/main/envir.c,0,BUILTINSXP,1,1,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
254,storage.mode<-,do_storage_mode,src/main/coerce.c,0,BUILTINSXP,1,2,replacement,eager,fixed,target-from-argument,elementwise,none,replace,methods,environment,coercion-mode,none,none
255,asCharacterFactor,do_asCharacterFactor,src/main/coerce.c,0,BUILTINSXP,11,1,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
256,as.vector,do_asvector,src/main/coerce.c,0,BUILTINSXP,11,2,coercion-mode,eager,fixed,target-from-argument,elementwise,none,coercion,methods,pure,none,none,none
257,paste,do_paste,src/main/format.c,0,BUILTINSXP,11,4,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
258,paste0,do_paste,src/main/format.c,1,BUILTINSXP,11,3,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
259,file.path,do_filepath,src/main/paste.c,0,BUILTINSXP,11,2,io,eager,fixed,identity,scalar,none,drop,none,external-io,none,none,none
260,format,do_format,src/main/format.c,0,BUILTINSXP,11,9,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
261,format.info,do_formatinfo,src/main/format.c,0,BUILTINSXP,11,3,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
262,cat,do_cat,src/main/builtin.c,0,BUILTINSXP,111,6,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
263,do.call,do_docall,src/main/coerce.c,0,BUILTINSXP,211,3,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
264,str2lang,do_str2lang,src/main/coerce.c,0,BUILTINSXP,11,1,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
265,str2expression,do_str2lang,src/main/coerce.c,1,BUILTINSXP,11,1,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
266,nchar,do_nchar,src/main/character.c,1,BUILTINSXP,11,4,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
267,nzchar,do_nzchar,src/main/character.c,1,BUILTINSXP,1,-1,character,eager,variadic,character,elementwise-recycle,none,drop,none,pure,none,none,none
268,substr,do_substr,src/main/character.c,1,BUILTINSXP,11,3,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
269,startsWith,do_startsWith,src/main/character.c,0,BUILTINSXP,11,2,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
270,endsWith,do_startsWith,src/main/character.c,1,BUILTINSXP,11,2,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
271,substr<-,do_substrgets,src/main/character.c,1,BUILTINSXP,11,4,replacement,eager,fixed,identity,scalar,none,replace,methods,environment,string-range,none,none
272,strsplit,do_strsplit,src/main/grep.c,1,BUILTINSXP,11,5,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
273,abbreviate,do_abbrev,src/main/character.c,1,BUILTINSXP,11,3,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
274,make.names,do_makenames,src/main/character.c,0,BUILTINSXP,11,2,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,none,none
275,pcre_config,do_pcre_config,src/main/grep.c,1,BUILTINSXP,11,0,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
276,grep,do_grep,src/main/grep.c,0,BUILTINSXP,11,8,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
277,grepl,do_grep,src/main/grep.c,1,BUILTINSXP,11,8,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
278,grepRaw,do_grepraw,src/main/grep.c,0,BUILTINSXP,11,8,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
279,sub,do_gsub,src/main/grep.c,0,BUILTINSXP,11,7,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
280,gsub,do_gsub,src/main/grep.c,1,BUILTINSXP,11,7,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
281,regexpr,do_regexpr,src/main/grep.c,0,BUILTINSXP,11,6,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
282,gregexpr,do_regexpr,src/main/grep.c,1,BUILTINSXP,11,6,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
283,regexec,do_regexec,src/main/grep.c,1,BUILTINSXP,11,5,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
284,agrep,do_agrep,src/main/agrep.c,0,BUILTINSXP,11,8,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
285,agrepl,do_agrep,src/main/agrep.c,1,BUILTINSXP,11,8,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
286,adist,do_adist,src/main/agrep.c,1,BUILTINSXP,11,8,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
287,aregexec,do_aregexec,src/main/agrep.c,1,BUILTINSXP,11,7,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
288,tolower,do_tolower,src/main/character.c,0,BUILTINSXP,11,1,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
289,toupper,do_tolower,src/main/character.c,1,BUILTINSXP,11,1,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
290,chartr,do_chartr,src/main/character.c,1,BUILTINSXP,11,3,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
291,sprintf,do_sprintf,src/main/sprintf.c,1,BUILTINSXP,11,-1,runtime,eager,variadic,identity,scalar,none,drop,none,pure,none,none,none
292,make.unique,do_makeunique,src/main/unique.c,0,BUILTINSXP,11,2,matching,eager,fixed,identity,hash-or-order,none,drop,none,pure,none,none,none
293,charToRaw,do_charToRaw,src/main/raw.c,1,BUILTINSXP,11,1,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
294,rawToChar,do_rawToChar,src/main/raw.c,1,BUILTINSXP,11,2,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
295,rawShift,do_rawShift,src/main/raw.c,1,BUILTINSXP,11,2,bitwise,eager,fixed,integer-or-raw,elementwise-recycle,none,drop,none,pure,none,none,none
296,intToBits,do_intToBits,src/main/raw.c,1,BUILTINSXP,11,1,bitwise,eager,fixed,integer-or-raw,elementwise-recycle,none,drop,none,pure,none,none,none
297,numToBits,do_numToBits,src/main/raw.c,1,BUILTINSXP,11,1,bitwise,eager,fixed,integer-or-raw,elementwise-recycle,none,drop,none,pure,none,none,none
298,numToInts,do_numToInts,src/main/raw.c,1,BUILTINSXP,11,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
299,rawToBits,do_rawToBits,src/main/raw.c,1,BUILTINSXP,11,1,bitwise,eager,fixed,integer-or-raw,elementwise-recycle,none,drop,none,pure,none,none,none
300,packBits,do_packBits,src/main/raw.c,1,BUILTINSXP,11,2,bitwise,eager,fixed,integer-or-raw,elementwise-recycle,none,drop,none,pure,none,none,none
301,utf8ToInt,do_utf8ToInt,src/main/raw.c,1,BUILTINSXP,11,1,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
302,intToUtf8,do_intToUtf8,src/main/raw.c,1,BUILTINSXP,11,3,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
303,validUTF8,do_validUTF8,src/main/util.c,1,BUILTINSXP,11,1,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
304,validEnc,do_validEnc,src/main/util.c,1,BUILTINSXP,11,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
305,encodeString,do_encodeString,src/main/util.c,1,BUILTINSXP,11,5,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
306,iconv,do_iconv,src/main/sysutils.c,0,BUILTINSXP,11,6,system,eager,fixed,identity,scalar,none,drop,none,external-system,none,none,none
307,strtrim,do_strtrim,src/main/character.c,0,BUILTINSXP,11,2,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
308,strtoi,do_strtoi,src/main/character.c,0,BUILTINSXP,11,2,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
309,strrep,do_strrep,src/main/character.c,0,BUILTINSXP,11,2,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
310,is.null,do_is,src/main/coerce.c,NILSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
311,is.logical,do_is,src/main/coerce.c,LGLSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
312,is.integer,do_is,src/main/coerce.c,INTSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
313,is.double,do_is,src/main/coerce.c,REALSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
314,is.complex,do_is,src/main/coerce.c,CPLXSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
315,is.character,do_is,src/main/coerce.c,STRSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
316,is.symbol,do_is,src/main/coerce.c,SYMSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
317,is.name,do_is,src/main/coerce.c,SYMSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
318,is.environment,do_is,src/main/coerce.c,ENVSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
319,is.list,do_is,src/main/coerce.c,VECSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
320,is.pairlist,do_is,src/main/coerce.c,LISTSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
321,is.expression,do_is,src/main/coerce.c,EXPRSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
322,is.raw,do_is,src/main/coerce.c,RAWSXP,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
323,is.object,do_is,src/main/coerce.c,50,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
324,isS4,do_is,src/main/coerce.c,51,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
325,is.numeric,do_is,src/main/coerce.c,100,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
326,is.matrix,do_is,src/main/coerce.c,101,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
327,is.array,do_is,src/main/coerce.c,102,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
328,is.atomic,do_is,src/main/coerce.c,200,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
329,is.recursive,do_is,src/main/coerce.c,201,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
330,is.call,do_is,src/main/coerce.c,300,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
331,is.language,do_is,src/main/coerce.c,301,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
332,is.function,do_is,src/main/coerce.c,302,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
333,is.single,do_is,src/main/coerce.c,999,BUILTINSXP,1,1,predicate,eager,fixed,identity,elementwise-or-scalar,none,inspect,object,pure,none,none,none
334,is.na,do_isna,src/main/coerce.c,0,BUILTINSXP,1,1,missingness,eager,fixed,identity,elementwise-or-reduce,none,inspect,object,pure,none,none,none
335,is.nan,do_isnan,src/main/coerce.c,0,BUILTINSXP,1,1,numeric-predicate,eager,fixed,numeric,elementwise,none,drop,none,pure,none,none,none
336,is.finite,do_isfinite,src/main/coerce.c,0,BUILTINSXP,1,1,numeric-predicate,eager,fixed,numeric,elementwise,none,drop,none,pure,none,none,none
337,is.infinite,do_isinfinite,src/main/coerce.c,0,BUILTINSXP,1,1,numeric-predicate,eager,fixed,numeric,elementwise,none,drop,none,pure,none,none,none
338,is.vector,do_isvector,src/main/coerce.c,0,BUILTINSXP,11,2,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
339,proc.time,do_proctime,src/main/sysutils.c,0,BUILTINSXP,1,0,system,eager,fixed,identity,scalar,none,drop,none,external-system,none,none,none
340,gc.time,do_gctime,src/main/memory.c,0,BUILTINSXP,1,-1,runtime,eager,variadic,identity,scalar,none,drop,none,pure,none,none,none
341,withVisible,do_withVisible,src/main/eval.c,1,SPECIALSXP,10,1,language,special,fixed,identity,scalar,none,drop,none,control-or-environment,none,none,none
342,expression,do_expression,src/main/builtin.c,1,SPECIALSXP,0,-1,language,special,variadic,identity,scalar,none,drop,none,control-or-environment,none,none,none
343,interactive,do_interactive,src/main/sysutils.c,0,BUILTINSXP,1,0,system,eager,fixed,identity,scalar,none,drop,none,external-system,none,none,none
344,invisible,do_invisible,src/main/print.c,0,BUILTINSXP,101,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
345,rep,do_rep,src/main/seq.c,0,SPECIALSXP,0,-1,language,special,variadic,identity,scalar,none,drop,none,control-or-environment,none,none,none
346,rep.int,do_rep_int,src/main/seq.c,0,BUILTINSXP,11,2,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
347,rep_len,do_rep_len,src/main/seq.c,0,BUILTINSXP,11,2,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
348,seq.int,do_seq,src/main/seq.c,0,BUILTINSXP,1,-1,runtime,eager,variadic,identity,scalar,none,drop,none,pure,none,none,none
349,seq_len,do_seq_len,src/main/seq.c,0,BUILTINSXP,1,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
350,seq_along,do_seq_along,src/main/seq.c,0,BUILTINSXP,1,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
351,list,do_makelist,src/main/builtin.c,1,BUILTINSXP,1,-1,runtime,eager,variadic,identity,scalar,none,drop,none,pure,none,none,none
352,xtfrm,do_xtfrm,src/main/sort.c,0,BUILTINSXP,1,1,ordering,eager,fixed,identity,order,none,drop,none,pure,none,none,none
353,enc2native,do_enc2,src/main/util.c,0,BUILTINSXP,1,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
354,enc2utf8,do_enc2,src/main/util.c,1,BUILTINSXP,1,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
355,emptyenv,do_emptyenv,src/main/envir.c,0,BUILTINSXP,1,0,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
356,baseenv,do_baseenv,src/main/envir.c,0,BUILTINSXP,1,0,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
357,globalenv,do_globalenv,src/main/envir.c,0,BUILTINSXP,1,0,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
358,environment<-,do_envirgets,src/main/builtin.c,0,BUILTINSXP,1,2,replacement,eager,fixed,identity,scalar,none,replace,methods,environment,closure-environment,none,none
359,pos.to.env,do_pos2env,src/main/envir.c,0,BUILTINSXP,1,1,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
360,.C,do_dotCode,src/main/dotcode.c,0,BUILTINSXP,1,-1,runtime,eager,variadic,identity,scalar,none,drop,none,pure,none,none,none
