batch,c_entry,primitive,offset,source_file
"batch_097.c","do_saveToConn","saveToConn","0","src/main/saveload.c"
"batch_098.c","do_savefile","save.to.file","0","src/main/saveload.c"
"batch_099.c","do_scan","scan","0","src/main/scan.c"
"batch_100.c","do_search","search","0","src/main/envir.c"
"batch_101.c","do_serialize","serializeb","1","src/main/serialize.c"
"batch_102.c","do_serializeToConn","serializeToConn","0","src/main/serialize.c"
"batch_103.c","do_serversocket","serverSocket","0","src/main/connections.c"
"batch_104.c","do_shellexec","shell.exec","0","src/gnuwin32/extra.c"
"batch_105.c","do_signalCondition",".signalCondition","0","src/main/errors.c"
"batch_106.c","do_sockconn","socketAccept","1","src/main/connections.c"
"batch_106.c","do_sockconn","socketConnection","0","src/main/connections.c"
"batch_107.c","do_standardGeneric","standardGeneric","0","src/main/objects.c"
"batch_108.c","do_substitute","substitute","0","src/main/coerce.c"
"batch_109.c","do_sys","sys.call","2","src/main/context.c"
"batch_109.c","do_sys","sys.calls","5","src/main/context.c"
"batch_109.c","do_sys","sys.frame","3","src/main/context.c"
"batch_109.c","do_sys","sys.frames","6","src/main/context.c"
"batch_109.c","do_sys","sys.function","9","src/main/context.c"
"batch_109.c","do_sys","sys.nframe","4","src/main/context.c"
"batch_109.c","do_sys","sys.on.exit","7","src/main/context.c"
"batch_109.c","do_sys","sys.parent","1","src/main/context.c"
"batch_109.c","do_sys","sys.parents","8","src/main/context.c"
"batch_110.c","do_sysbrowser","browserCondition","2","src/main/context.c"
"batch_110.c","do_sysbrowser","browserSetDebug","3","src/main/context.c"
"batch_110.c","do_sysbrowser","browserText","1","src/main/context.c"
"batch_111.c","do_tailcall","Exec","0","src/main/eval.c"
"batch_111.c","do_tailcall","Tailcall","1","src/main/eval.c"
"batch_112.c","do_traceback","traceback","0","src/main/errors.c"
"batch_113.c","do_tryCatchHelper","C_tryCatchHelper","0","src/main/errors.c"
"batch_114.c","do_tryWrap","tryWrap","0","src/main/altclasses.c"
"batch_115.c","do_unregNS","unregisterNamespace","0","src/main/envir.c"
"batch_116.c","do_unserializeFromConn","serializeInfoFromConn","1","src/main/serialize.c"
"batch_116.c","do_unserializeFromConn","unserializeFromConn","0","src/main/serialize.c"
"batch_117.c","do_unz","unz","0","src/main/connections.c"
"batch_118.c","do_url","file","1","src/main/connections.c"
"batch_118.c","do_url","url","0","src/main/connections.c"
"batch_119.c","do_wrap_meta","wrap_meta","0","src/main/altclasses.c"
